Item Code,Avg. Rate,Qty
90594103,0,6
90594104,0,2
90594105,0,1
90594106,0,1
90594107,0,3
90594108,0,16
90594110,0,10
90594111,0,41
90594112,0,12
90594113,0,4
90594115,0,2
90594116,0,4
90594117,0,7
90594118,0,3
90594119,0,3
90594200,0,2
90594201,0,1
90594202,0,11
90594203,0,2
90594204,0,1
90594205,0,1
90594206,0,4
90594207,0,6
90594208,0,12
90594209,0,3
90594210,0,3
90594211,0,3
90594212,0,6
90594213,0,7
90594215,0,6
90594216,0,5
90594217,0,9
90594218,0,2
90594273,0,1
90594283,0,2
90594323,0,7
90594325,0,2
90594326,0,6
90594327,0,6
90594329,0,1
90594330,0,4
90594331,0,2
90594332,0,2
90594333,0,14
90594334,0,18
90594336,0,10
90594373,0,6
90594376,0,2
90594377,0,10
90594381,0,1
90594388,0,3
90594389,0,2
90594394,0,4
90594395,0,4
90601101,0,-5
90603171,0,2
90603255,0,10
90603333,0,1
90622108,0,11
90663253,0,1
90668369,0,3
90668551,0,71
90668576,0,32
90668915,0,3
90668923,0,2
90668987,0,23
90669006,0,30
90669030,0,2
90689214,2438.5,1
90698256,0,6
90764186,0,2
90788168,0,1
90788172,0,2
90788195,0,11
90788290,0,1
90788330,0,2
90790104,0,-2
90790221,0,5
90996387,0,8
90996441,0,1
90996458,0,4
90996518,0,1
90996529,0,4
90996544,0,1
90996560,0,2
90996878,0,1
90997681,0,4
90998037,0,10
90998043,0,10
90998218,0,11
90998375,0,1
90998477,0,2
90998499,0,1
90998929,0,1
90999718,0,1
90999738,0,-3
90999747,10440,1
90999772,480,25
91000001,0,1
91000002,0,9
91000003,0,8
91000004,0,1
91000005,0,4
91000006,0,1
91000007,0,13
91000008,0,3
91000009,0,5
91000010,0,6
91000011,0,9
91000012,0,13
91000013,0,9
91000014,0,2
91000016,0,7
91000017,0,11
91000019,0,1
91000020,0,5
91000021,0,5
91000022,0,1
91000024,0,1
91000025,0,4
91000026,0,3
91000027,0,7
91000028,0,4
91000029,0,14
91000030,0,1
91000031,0,6
91000032,0,1
91000033,0,3
91000034,0,3
91000035,0,10
91000036,475,4
91000037,0,4
91000038,0,1
91000039,0,8
91000040,0,1
91000041,0,40
91000042,0,3
91000043,0,50
91000045,0,4
91000046,0,2
91000047,0,7
91000048,0,8
91000049,0,7
91000050,0,31
91000051,0,1
91000052,0,1
91000053,0,1
91000054,0,1
91000055,0,5
91000057,0,15
91000058,0,3
91000059,0,6
91000060,0,4
91000061,0,9
91000062,0,20
91000063,0,3
91000064,0,1
91000065,0,1
91000066,0,9
91000067,0,15
91000068,0,4
91000069,0,4
91000070,0,24
91000071,0,12
91000073,0,2
91000074,0,2
91000075,0,10
91000076,0,2
91000077,0,2
91000078,0,4
91000079,0,2
91000080,0,3
